,current_team,player_name,agent_played,role_on_team,usage,rnd_num,avg_combat_score,kill_death_ratio,avg_dmg,kast,kills_per_rnd,ast_per_rnd,fk_per_rnd,fd_per_rnd,kills,death,ast,fk,fd,team_rank
279,The Ultimates,Winteryrook,sage,sentinel,0.161,107,274.8,1.53,177.3,0.79,1.00,0.26,0.15,0.07,107,70,28,16,7,1791
280,The Ultimates,Winteryrook,viper,controller,0.065,40,317.5,1.47,195.1,0.73,1.10,0.18,0.10,0.10,44,30,7,4,4,1791
281,The Ultimates,Winteryrook,yoru,duelist,0.032,19,152.0,0.71,99.2,0.68,0.53,0.16,0.11,0.16,10,14,3,2,3,1791
282,FaZe Clan,dicey,chamber,sentinel,0.8,364,258.4,1.51,165.2,0.74,0.95,0.08,0.20,0.11,344,228,30,73,41,1990
283,FaZe Clan,dicey,sage,sentinel,0.2,106,223.8,1.17,157.4,0.77,0.78,0.34,0.12,0.11,83,71,36,13,12,1990
284,Ambition,VolcaN,chamber,sentinel,0.794,545,243.0,1.45,154.3,0.73,0.90,0.12,0.14,0.06,489,337,66,78,31,1437
285,Ambition,VolcaN,sage,sentinel,0.08800000000000001,73,208.0,0.95,137.0,0.78,0.73,0.26,0.16,0.07,53,56,19,12,5,1437
286,Ambition,VolcaN,raze,duelist,0.059000000000000004,35,261.5,1.07,166.3,0.71,0.86,0.26,0.14,0.00,30,28,9,5,0,1437
287,Ambition,VolcaN,jett,duelist,0.059000000000000004,45,253.5,1.17,161.3,0.67,0.91,0.09,0.20,0.18,41,35,4,9,8,1437
288,Cloud9,leaf,neon,duelist,0.48,232,255.7,1.23,160.5,0.71,0.89,0.23,0.18,0.20,206,167,54,41,47,1902
289,Cloud9,leaf,chamber,sentinel,0.2,99,276.4,1.32,173.8,0.75,0.97,0.21,0.28,0.16,96,73,21,28,16,1902
290,Cloud9,leaf,jett,duelist,0.08,35,273.5,1.50,176.7,0.8,0.94,0.34,0.23,0.20,33,22,12,8,7,1902
291,Cloud9,leaf,skye,initiator,0.08,45,188.0,0.80,121.3,0.73,0.62,0.22,0.13,0.20,28,35,10,6,9,1902
292,Cloud9,leaf,yoru,duelist,0.04,23,292.0,1.50,179.3,0.74,1.04,0.22,0.09,0.13,24,16,5,2,3,1902
293,Cloud9,leaf,fade,initiator,0.04,24,185.0,0.80,115.8,0.5,0.67,0.08,0.13,0.13,16,20,2,3,3,1902
294,Cloud9,leaf,viper,controller,0.04,26,215.0,0.90,127.6,0.77,0.73,0.27,0.15,0.04,19,21,7,4,1,1902
295,Cloud9,leaf,raze,duelist,0.04,21,260.0,1.42,169.6,0.76,0.81,0.43,0.29,0.10,17,12,9,6,2,1902
296,n/a,yami,chamber,sentinel,0.667,38,221.0,0.97,133.6,0.63,0.82,0.08,0.21,0.18,31,32,3,8,7,n/a
297,n/a,yami,jett,duelist,0.33299999999999996,21,311.0,1.77,219.0,0.76,1.10,0.24,0.19,0.19,23,13,5,4,4,n/a
298,Cloud9 White,Jazzyk1ns,raze,duelist,0.462,214,265.8,1.39,176.5,0.78,0.90,0.30,0.18,0.15,193,139,64,38,33,2000
299,Cloud9 White,Jazzyk1ns,neon,duelist,0.192,107,227.4,0.94,144.3,0.69,0.74,0.24,0.19,0.15,79,84,26,20,16,2000
300,Cloud9 White,Jazzyk1ns,chamber,sentinel,0.192,95,245.0,1.62,153.3,0.76,0.91,0.13,0.15,0.16,86,53,12,14,15,2000
301,Cloud9 White,Jazzyk1ns,sage,sentinel,0.154,77,307.5,2.18,179.8,0.83,1.10,0.30,0.14,0.08,85,39,23,11,6,2000
302,TENSTAR Nova,Cla,raze,duelist,0.615,168,262.0,1.46,168.4,0.76,0.91,0.22,0.15,0.14,153,105,37,26,24,1817
303,TENSTAR Nova,Cla,neon,duelist,0.385,104,238.2,1.02,146.5,0.7,0.81,0.20,0.24,0.12,84,82,21,25,12,1817
304,FNATIC,Alfajer,raze,duelist,0.478,260,252.1,1.13,173.8,0.7,0.84,0.21,0.18,0.13,219,194,55,46,33,2168
305,FNATIC,Alfajer,viper,controller,0.261,138,237.2,1.29,149.0,0.8,0.85,0.31,0.09,0.05,117,91,43,12,7,2168
306,FNATIC,Alfajer,killjoy,sentinel,0.174,82,267.8,1.57,171.1,0.78,0.98,0.18,0.11,0.07,80,51,15,9,6,2168
307,FNATIC,Alfajer,sage,sentinel,0.087,47,233.5,1.14,156.4,0.77,0.85,0.26,0.13,0.17,40,35,12,6,8,2168
308,Hero Zero KDA,Eira,kayo,initiator,0.375,63,180.7,0.87,119.3,0.73,0.62,0.35,0.08,0.11,39,45,22,5,7,1528
309,Hero Zero KDA,Eira,sova,initiator,0.25,45,264.0,1.25,164.9,0.8,0.89,0.38,0.13,0.00,40,32,17,6,0,1528
310,Hero Zero KDA,Eira,neon,duelist,0.25,35,286.5,1.81,160.8,0.89,1.09,0.29,0.26,0.11,38,21,10,9,4,1528
311,Hero Zero KDA,Eira,raze,duelist,0.125,21,167.0,0.65,136.0,0.57,0.52,0.10,0.00,0.14,11,17,2,0,3,1528
312,TSM X,dodonut,raze,duelist,0.5329999999999999,361,272.2,1.25,175.7,0.76,0.88,0.30,0.17,0.16,318,255,108,60,56,1791
313,TSM X,dodonut,sage,sentinel,0.133,87,235.8,1.25,152.4,0.77,0.82,0.32,0.05,0.13,71,57,28,4,11,1791
314,TSM X,dodonut,neon,duelist,0.133,79,265.5,1.30,186.4,0.71,0.92,0.25,0.16,0.14,73,56,20,13,11,1791
315,TSM X,dodonut,jett,duelist,0.1,71,267.3,1.21,170.2,0.73,0.90,0.21,0.14,0.17,64,53,15,10,12,1791
316,TSM X,dodonut,chamber,sentinel,0.1,61,238.3,1.36,145.5,0.72,0.87,0.15,0.13,0.05,53,39,9,8,3,1791
317,Karmine Corp,TakaS,jett,duelist,0.467,141,236.3,1.20,149.5,0.67,0.84,0.20,0.18,0.16,118,98,28,25,22,1438
318,Karmine Corp,TakaS,raze,duelist,0.267,87,278.5,1.37,187.0,0.74,0.93,0.23,0.17,0.20,81,59,20,15,17,1438
319,Karmine Corp,TakaS,chamber,sentinel,0.267,65,266.0,1.32,171.8,0.8,0.95,0.12,0.23,0.00,62,47,8,15,0,1438
320,MAD Lions,xms,chamber,sentinel,0.813,265,247.8,1.58,161.5,0.78,0.93,0.10,0.14,0.11,246,156,26,37,29,1650
321,MAD Lions,xms,kayo,initiator,0.125,49,284.0,1.43,196.4,0.82,1.02,0.37,0.08,0.02,50,35,18,4,1,1650
