matchId,puuid,tier,champion
JP1_361022044,dhEGqis2bDuNdTWd2pl-I7VfgzWajcnRBGKPVpJiJ3O0tlmkwWawFALGLHcirCN8AbISZ7jT3_shPw,IRON,Shen
JP1_351898132,dhEGqis2bDuNdTWd2pl-I7VfgzWajcnRBGKPVpJiJ3O0tlmkwWawFALGLHcirCN8AbISZ7jT3_shPw,IRON,Cho'Gath
JP1_366213548,jbx1IoOKR5RBSzAvFoypb-P1s2d9kudm8N1gwkaXt_lV5rb09q9ZwpVP9O-oN7XLpLsZAnSkyUvPew,IRON,Vi
JP1_366222149,jbx1IoOKR5RBSzAvFoypb-P1s2d9kudm8N1gwkaXt_lV5rb09q9ZwpVP9O-oN7XLpLsZAnSkyUvPew,IRON,Vi
JP1_366220606,jbx1IoOKR5RBSzAvFoypb-P1s2d9kudm8N1gwkaXt_lV5rb09q9ZwpVP9O-oN7XLpLsZAnSkyUvPew,IRON,Vi
JP1_366256351,Isr-DnFgWyJiaoLcaSN5c_sRSeq42PDDEh3OaA-nqPOI3u9yeoQVfx2ic1b2ui-Y1MXG42QHipsoSA,IRON,Jax
JP1_357010383,Isr-DnFgWyJiaoLcaSN5c_sRSeq42PDDEh3OaA-nqPOI3u9yeoQVfx2ic1b2ui-Y1MXG42QHipsoSA,IRON,Trundle
JP1_356998598,Isr-DnFgWyJiaoLcaSN5c_sRSeq42PDDEh3OaA-nqPOI3u9yeoQVfx2ic1b2ui-Y1MXG42QHipsoSA,IRON,Trundle
JP1_358549198,O9H8U5zf3kcMXTQOytpSIG4PcvAJvSwDmyTM0Sbi6XMQYw3G-KewPTAC3AYxMpaWmVpIL0CyDnW1pg,IRON,Thresh
JP1_353394658,O9H8U5zf3kcMXTQOytpSIG4PcvAJvSwDmyTM0Sbi6XMQYw3G-KewPTAC3AYxMpaWmVpIL0CyDnW1pg,IRON,Malphite
JP1_351458396,O9H8U5zf3kcMXTQOytpSIG4PcvAJvSwDmyTM0Sbi6XMQYw3G-KewPTAC3AYxMpaWmVpIL0CyDnW1pg,IRON,Vayne
JP1_349681663,oBL5lvUqS2ydC1TOEqjy6tic5gQwEx-sY74iCejGbm4AAzaj1fjeVhYkWfKffdXht0E--7ijGRO3qg,IRON,Senna
JP1_349631319,oBL5lvUqS2ydC1TOEqjy6tic5gQwEx-sY74iCejGbm4AAzaj1fjeVhYkWfKffdXht0E--7ijGRO3qg,IRON,Senna
JP1_349599460,oBL5lvUqS2ydC1TOEqjy6tic5gQwEx-sY74iCejGbm4AAzaj1fjeVhYkWfKffdXht0E--7ijGRO3qg,IRON,Senna
JP1_362127316,e6hBV3XhFTrIhNj95nT8S0H3iF5NnPJSBQP3Wx04C3pDgb-_bxL8f1NQI0zuNG0QQpVTyIMmWHCv6Q,IRON,Yasuo
JP1_362116703,e6hBV3XhFTrIhNj95nT8S0H3iF5NnPJSBQP3Wx04C3pDgb-_bxL8f1NQI0zuNG0QQpVTyIMmWHCv6Q,IRON,Yasuo
JP1_362125088,e6hBV3XhFTrIhNj95nT8S0H3iF5NnPJSBQP3Wx04C3pDgb-_bxL8f1NQI0zuNG0QQpVTyIMmWHCv6Q,IRON,Yasuo
